run_index,generation_success,execution_success,latency_s,n_operations,error
0,True,True,17.37343312200028,9,
1,True,True,19.541319140999803,9,
2,True,True,18.36774793600034,9,
3,True,True,19.090104605000306,9,
4,True,True,19.87847005599997,9,
5,True,True,19.481941281000218,9,
6,True,True,17.813707270000123,9,
7,True,True,18.359000914999342,9,
8,True,True,19.672016858999996,9,
9,True,True,17.738494657000047,9,
10,True,True,18.506904802000463,9,
11,True,True,18.62452075100009,9,
12,True,True,18.703853749999325,9,
13,True,True,19.04080197699932,9,
14,True,True,18.007888959999946,9,
15,True,True,23.625726964000023,9,
16,True,True,18.22918740500063,9,
17,True,True,18.29014350000034,9,
18,True,True,18.985127025999645,9,
19,True,True,18.900191895000717,9,
