run_index,generation_success,execution_success,degenerate_ranking,latency_s,n_operations,error
0,True,True,True,19.6349667709992,9,
1,True,True,True,18.46207987699927,9,
2,True,True,True,19.586678562999623,9,
3,True,True,True,18.983757218999926,9,
4,True,True,True,19.435405962000004,9,
5,True,True,True,20.187895572999878,9,
6,True,True,True,18.757941490999656,9,
7,True,True,True,18.3974401079995,9,
8,True,True,True,20.710674773999926,9,
9,True,True,True,18.905771298000218,9,
10,True,True,True,18.11990664000041,9,
11,True,True,True,18.572045891000016,9,
12,True,True,True,18.509081266000067,9,
13,True,True,True,18.474302450999858,9,
14,True,True,True,19.010039398999652,9,
15,True,True,True,18.572539112999948,9,
16,True,True,True,18.2430543749997,9,
17,True,True,True,20.57929944099942,9,
18,True,True,True,20.13812672699987,9,
19,True,True,True,19.859840310000436,9,
