run_index,generation_success,execution_success,degenerate_ranking,latency_s,n_operations,error
0,True,True,True,18.02266208599997,6,
1,True,True,True,18.88333443900001,6,
2,True,True,True,16.984662549999996,6,
3,True,True,True,19.530696715999966,6,
4,True,True,True,19.166639450000048,6,
5,True,True,True,20.434168606000014,6,
6,True,True,True,16.907168334999994,6,
7,True,True,True,17.139073386000007,6,
8,True,True,True,19.797771821000026,6,
9,True,True,True,18.124061709999978,6,
10,True,True,True,17.45053033900001,6,
11,True,True,True,17.862047805999964,6,
12,True,True,True,16.89914523599998,6,
13,True,True,True,17.061845587999983,6,
14,True,True,True,17.49351445399998,6,
15,True,True,True,19.76280281100003,6,
16,True,True,True,20.85697230300002,6,
17,True,True,True,17.887624469000002,6,
18,True,True,True,17.684806157000025,6,
19,True,True,True,18.790247393999948,6,
