run_index,generation_success,execution_success,degenerate_ranking,latency_s,n_operations,error
0,True,True,True,17.185451861999354,9,
1,True,True,True,17.588360767999802,9,
2,True,True,True,21.52174128200022,9,
3,True,False,,10.048251318999974,9,execution: Node distance_to_metro failed: calculate_distances() got an unexpected keyword argument 'k'
4,True,True,True,19.081822551000187,9,
5,True,True,True,17.26509350500055,9,
6,True,True,True,17.685314302000734,9,
7,True,True,True,19.53163463400051,9,
8,True,True,True,18.68323801800034,9,
9,True,True,True,18.515601596000124,9,
10,True,True,True,18.0807270790001,9,
11,True,True,True,18.70814130799954,9,
12,True,True,True,17.48878986300042,9,
13,True,True,True,18.105433197999446,9,
14,True,True,True,18.944615780000277,9,
15,True,True,True,23.214465372999257,9,
16,True,True,True,16.79451494499972,9,
17,True,True,True,18.83712586999991,9,
18,True,True,True,18.623560564999934,9,
19,True,True,True,17.942328447000364,9,
